lAboutText1	~1~ ~2~ (~3~ bits)
lAboutText2	~1~ est développé par Jean Lalonde`nsur la plateforme <a href="http://ahkscript.org/">AutoHotkey</a>.`n`nTraduction française: Jean Lalonde`nTraduction allemande: Edgar "Fast Edi" Hoffmann`nTraduction néerlandaise: Pieter Dejonghe`nTraduction coréenne: Om Il-Sung`nTraduction suédoise: Åke Engelbrektson`nTraduction italienne: Riccardo Leone`nTraduction espagnole: kiketrucker`nTraduction en portugais brésilien: Igor Ruckert`nRévision anglaise: (aide bienvenue)`n`nIcônes par: <a href="http://www.visualpharm.com">Visual Pharm</a>`nInstallateur: <a href="http://www.jrsoftware.org/isinfo.php">Inno Setup</a> par jrsoftware.org`nSources AutoHotkey_L v1.1: <a href="https://github.com/JnLlnd/FoldersPopup">GitHub</a>
lAboutText3	~1~ Jean Lalonde 2013-2014. Gratuiciel.
lAboutText4	Soutien en ligne: <a href="http://code.jeanlalonde.ca/folderspopup">www.code.jeanlalonde.ca</a>
lAboutTitle	À propos - ~1~ ~2~
lAppTagline	Navigez en un clin d'oeil parmi vos dossiers et documents favoris!
lDiagModeCaution	~1~ roule en mode de diagnostique.`n`nDes renseignements à propos de l'exécution de cette application seront colligées dans le fichier:`n~2~`n`nAucune information ne sera transmise sans votre consentement.`n`nVoulez-vous rester en mode diagnostique?
lDiagModeExit	~1~ a colligé des renseignements à des fins de diagnostique dans le fichier ~2~.
lDiagModeIntro	Envoyez ce fichier à ahk@jeanlalonde.ca avec une description de la situation nécessitant un diasnostique.
lDiagModeSee	Voulez-vous consulter le fichier de diagnostique?
lDialogAdd	Ajouter
lDialogAddEditFavoriteTitle	~1~ un favori - ~2~ ~3~
lDialogAddFileSelect	Choisir un nouveau document:
lDialogAddFolderManuallyPrompt	Désolé, nous ne pouvons détecter automatiquement le dossier actif dans ce type de fenêtre.`n`nVoulez-vous ajouter ce dossier manuellement?
lDialogAddFolderManuallyTitle	Ajouter un dossier - ~1~ ~2~
lDialogAddFolderSelect	Choisir ou créer un nouveau dossier:
lDialogApplicationLabel	Application
lDialogApplicationShortName	Nom de l'application (pour les menus)
lDialogArgumentsLabel	Paramètres
lDialogBrowseButton	Parcourir
lDialogCancelButton	Annuler
